MaskDroneMaskModuleGlow,Glow
MaskDroneMaskModuleHelmet,Coverage
MaskDroneMaskModuleLayering,Adv. Layering
MaskDroneMaskModuleMouth,Mouth
MaskDroneMaskModulePattern,Pattern
MaskDroneMaskOptione0,Smooth
MaskDroneMaskOptione1,Open
MaskDroneMaskOptione2,Spirals
MaskDroneMaskOptione3,Smile
MaskDroneMaskOptione4,Holes
MaskDroneMaskOptione5,Sculpted
MaskDroneMaskOptione6,Concave
MaskDroneMaskOptiong0,Off
MaskDroneMaskOptiong1,On
MaskDroneMaskOptionh0,Mask
MaskDroneMaskOptionh1,Hood
MaskDroneMaskOptionh2,Total Hood
MaskDroneMaskOptionj0,All Hidden
MaskDroneMaskOptionj1,Right Gag Visible
MaskDroneMaskOptionj2,All Gags Visible
MaskDroneMaskOptionj3,Blindfold Visible
MaskDroneMaskOptionj4,Blindfold and Right
MaskDroneMaskOptionj5,All Visible
MaskDroneMaskOptionm0,Smooth
MaskDroneMaskOptionm1,Onahole
MaskDroneMaskOptionm2,Pussy
MaskDroneMaskOptionm3,Smile
MaskDroneMaskOptionm4,Holes
MaskDroneMaskOptionm5,Sculpted
MaskDroneMaskOptionm6,Subtle
MaskDroneMaskOptionp0,None
MaskDroneMaskOptionp1,Barcode
MaskDroneMaskOptionp2,Scarab
MaskDroneMaskOptionp3,Hexagon
MaskDroneMaskOptionp4,Lines
MaskDroneMaskOptionp5,Text
MaskDroneMaskSelectBase,Select Mask Details
MaskDroneMaskSelectEyes,Select Eye Shape
MaskDroneMaskSelectGlow,Switch Glow Function
MaskDroneMaskSelectHelmet,Select Coverage
MaskDroneMaskSelectLayering,Advanced Layering
MaskDroneMaskSelectMouth,Select Mouth Shape
MaskDroneMaskSelectPattern,Select Mask Pattern
MaskGlitterDotsBoth,Dots Both Sides
MaskGlitterDotsLeft,Dots Left
MaskGlitterDotsRight,Dots Right
MaskGlitterFreckles,Freckles
MaskGlitterFrecklesSmall,Small Freckles
MaskGlitterMidFreckles,Nose Freckles
MaskGlitterMidFrecklesSmall,Small Nose Freckles
MaskGlitterSelect,Select a style.
MaskGlitterSplitFreckles,Split Freckles
MaskGlitterSplitFrecklesSmall,Small Cheek Freckles
MaskGlitterStarsBoth,Stars Both Sides
MaskGlitterStarsLeft,Stars Left
MaskGlitterStarsRight,Stars Right
MaskHeadHarnessHeavy,Heavy harness
MaskHeadHarnessSelect,Select the head harness shape
MaskHeadHarnessSimple,Simple harness
MaskPetNoseModuleCheeks,Cheeks
MaskPetNoseModuleMouth,Mouth
MaskPetNoseModuleNose,Nose
MaskPetNoseModuleWhiskers,Whiskers
MaskPetNoseOptionc0,No Cheeks
MaskPetNoseOptionc1,Small Cheeks
MaskPetNoseOptionc2,Big Cheeks
MaskPetNoseOptionm0,Show Mouth
MaskPetNoseOptionm1,Hide Mouth
MaskPetNoseOptionn0,Nose
MaskPetNoseOptionn1,No Nose
MaskPetNoseOptionw0,No Whiskers
MaskPetNoseOptionw1,Short Whiskers
MaskPetNoseOptionw2,Long Whiskers
MaskPetNoseSelectBase,Select part of the nose.
MaskPetNoseSelectCheeks,Select Cheeks
MaskPetNoseSelectMouth,Mouth visibility
MaskPetNoseSelectNose,Select Nose
MaskPetNoseSelectWhiskers,Select Whiskers
MaskSwimCapModuleHair,Hair Openings
MaskSwimCapModulePattern,Pattern
MaskSwimCapOptionh0,Hidden
MaskSwimCapOptionh1,Back Opening
MaskSwimCapOptionh2,Ear Holes
MaskSwimCapOptionh3,Mixed Openings
MaskSwimCapOptionp0,None
MaskSwimCapOptionp1,Stripe
MaskSwimCapOptionp2,Stripes
MaskSwimCapOptionp3,Triangle
MaskSwimCapOptionp4,Cowprint
MaskSwimCapOptionp5,Tigerprint
MaskSwimCapSelectBase,Choose Design
MaskSwimCapSelectHair,Adjust Hair Openings
MaskSwimCapSelectPattern,Choose Pattern
MaskSwimCapSetHair,SourceCharacter adjusts DestinationCharacter swimcap hair openings.
MaskSwimCapSetPattern,SourceCharacter swaps DestinationCharacter swimcap pattern.
MaskAnimalNosesSelect,Select Nose Type
MaskAnimalNosesButtonNose,Button Nose
MaskAnimalNosesElegantFelineNose,Elegant Feline Nose
MaskAnimalNosesLargeCanineNose,Large Canine Nose
MaskEldritchMaskSelect,Select Mask Type
MaskEldritchMaskEyes,Eyes
MaskEldritchMaskGlowingEyes,Glowing Eyes
MaximumSuction,Maximum
MediumSuction,Medium
Medium,Medium
MetalCuffsPoseBehindBack,Behind back
MetalCuffsPoseInFront,In-front of body
MetalCuffsRestrainBehindBack,SourceCharacter cuffs DestinationCharacter hands behind TargetPronounPossessive back.
MetalCuffsRestrainInFront,SourceCharacter cuffs DestinationCharacter hands in-front of TargetPronounPossessive body.
MilkBottleChug,Held up high
MilkBottleRaised,Held up
MilkBottleRest,Resting
MilkBottleSetChug,SourceCharacter holds DestinationCharacter bottle high above TargetPronounPossessive head.
MilkBottleSetRaised,SourceCharacter holds DestinationCharacter bottle up.
MilkBottleSetRest,SourceCharacter rests DestinationCharacter bottle on TargetPronounPossessive chest.
mittens,mittens
mittensfromharness,mittens
mittenstoharness,mittens to the baby harness
ModularChastityBeltDecrease,Decrease
ModularChastityBeltDeflate,Deflate
ModularChastityBeltDeny,Deny
ModularChastityBeltDenyCount,Denials
ModularChastityBeltDisable,Vibe Off
ModularChastityBeltEdge,Edge
ModularChastityBeltEmpty,Empty
ModularChastityBeltIncrease,Increase
ModularChastityBeltInflate,Inflate
ModularChastityBeltOrgasmCount,Orgasms
ModularChastityBeltPunishOrgasm,Punish orgasm
ModularChastityBeltPunishStanding,Punish standing up
ModularChastityBeltPunishTamperOther,Punish any tampering
ModularChastityBeltPunishTamperSelf,Punish belt tampering
ModularChastityBeltRandom,Random
ModularChastityBeltResetDeny,Reset denials
ModularChastityBeltResetOrgasm,Reset orgasms
ModularChastityBeltResetShock,Reset shocks
ModularChastityBeltShock,Trigger Shock
ModularChastityBeltShockCount,Shocks
ModularChastityBeltTimeSinceLastOrgasm,Days since orgasm
ModularChastityBeltTimeWorn,Days worn
ModularChastityBeltTriggerShock,Trigger shock
MouthFullModuleLips,Lips
MouthFullModuleTongue,Tongue
MouthFullOptionl0,None
MouthFullOptionl1,Middle Ring
MouthFullOptionl2,Left Ring
MouthFullOptionl3,Right Ring
MouthFullOptionl4,Rings Both Sides
MouthFullOptionl5,Triple Rings
MouthFullOptionl6,Labret
MouthFullOptionl7,Labret and Rings
MouthFullOptiont0,None
MouthFullOptiont1,Single Stud
MouthFullOptiont2,Double Studs
MouthFullSelectBase,Select Piercing Options
MouthFullSelectLips,Select Lip Piercings
MouthFullSelectTongue,Select Tongue Piercings
MouthRegularModuleLips,Lips
MouthRegularModuleTongue,Tongue
MouthRegularOptionl0,None
MouthRegularOptionl1,Middle Ring
MouthRegularOptionl2,Left Ring
MouthRegularOptionl3,Right Ring
MouthRegularOptionl4,Rings Both Sides
MouthRegularOptionl5,Triple Rings
MouthRegularOptionl6,Labret
MouthRegularOptionl7,Labret and Rings
MouthRegularOptiont0,None
MouthRegularOptiont1,Single Stud
MouthRegularOptiont2,Double Studs
MouthRegularSelectBase,Select Piercing Options
MouthRegularSelectLips,Select Lip Piercings
MouthRegularSelectTongue,Select Tongue Piercings
NecklaceChokerTattooFlowers,Flowers
NecklaceChokerTattooLoops,Loops
NecklaceChokerTattooSelect,Select the design
NecklaceNecklaceRopeLong,Long
NecklaceNecklaceRopeSelect,Select the rope length
NecklaceNecklaceRopeShort,Short
NippleEggDecreaseTo-1,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples stop vibrating.
NippleEggDecreaseTo0,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples slow down into a light tease.
NippleEggDecreaseTo1,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples return to a moderate pace.
NippleEggDecreaseTo2,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples slow down a tiny bit.
NippleEggIncreaseTo0,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples start teasing TargetPronounObject lightly.
NippleEggIncreaseTo1,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples build up to a moderate pace.
NippleEggIncreaseTo2,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples start buzzing strongly!
NippleEggIncreaseTo3,DestinationCharacterName vibrating eggs on TargetPronounPossessive nipples jump up to maximum intensity!
NipSucloosensToHeavy,SourceCharacter loosens DestinationCharacter nipple suction cups a bit to a heavy amount of suction.
NipSucloosensToLight,SourceCharacter loosens DestinationCharacter nipple suction cups to a light amount of suction.
NipSucloosensToLoose,SourceCharacter loosens DestinationCharacter nipple suction cups until they hang loosely.
NipSucloosensToMedium,SourceCharacter loosens DestinationCharacter nipple suction cups to a moderate amount of suction.
NipSuctightensToHeavy,SourceCharacter tweaks DestinationCharacter nipple suction cups sucking in TargetPronounPossessive nipples heavily.
NipSuctightensToLight,SourceCharacter tweaks DestinationCharacter nipple suction cups sucking in TargetPronounPossessive nipples lightly.
NipSuctightensToMaximum,SourceCharacter tweaks DestinationCharacter nipple suction cups sucking in TargetPronounPossessive nipples entirely.
NipSuctightensToMedium,SourceCharacter tweaks DestinationCharacter nipple suction cups sucking in TargetPronounPossessive nipples firmly.
NoClothAndCollared,Remove some clothes and requires a collar.
NoRequirement,No Requirement
NoseRingPoseBase,Nothing
NoseRingPoseChainLong,Long Chain
NoseRingPoseChainShort,Short Chain
NoseRingPoseLeash,Leash
NoseRingRestrainBase,SourceCharacter removes the attachment from DestinationCharacter nose ring.
NoseRingRestrainChainLong,SourceCharacter attaches a long chain to DestinationCharacter nose ring.
NoseRingRestrainChainShort,SourceCharacter attaches a short chain to DestinationCharacter nose ring.
NoseRingRestrainLeash,SourceCharacter attaches a leash to DestinationCharacter nose ring.
ObedienceBeltEngrave,Engrave
ObedienceBeltEngraveLabel,Engrave the following text on the belt:
ObedienceBeltEngravingChange,SourceCharacter engraved “NewText” on DestinationCharacter obedience belt.
ObedienceBeltEngravingRemove,SourceCharacter erases the engraving on DestinationCharacter obedience belt.
ObedienceBeltPunishOrgasm,Punish orgasms
ObedienceBeltPunishStandup,Punish standing up
ObedienceBeltShockOrgasm,The obedience belt on SourceCharacter shocks TargetPronounObject for having an orgasm.
ObedienceBeltShockStandup,The obedience belt on SourceCharacter shocks TargetPronounObject for standing up.
ObedienceBeltShockTrigger,The obedience belt on SourceCharacter shocks TargetPronounObject.
ObedienceBeltShowChatMessage,Show messages in chat
OnlineBountySuitcaseEnd,"The kidnappers opened your suitcase, which contains a laptop with a bunch of secret information. You better get back to the league to warn them."
OnlineBountySuitcaseEndEarly,SourceCharacter's suitcase is safe... for now.
OnlineBountySuitcaseEndEarlyOpened,SourceCharacter's data is safe... for now.
OnlineBountySuitcaseEndOpened,The kidnappers have stolen even more data using your laptop.
OnlineBountySuitcaseFinish,You find confidential club secrets worth MONEYAMOUNT$ on the black market.
OnlineBountySuitcaseOngoing,SourceCharacter's suitcase will be open in TIMEREMAINING minutes. Make sure PronounSubject is secure until then!
OnlineBountySuitcaseOngoingOpened,SourceCharacter's data will be ready in TIMEREMAINING minutes. Make sure PronounSubject is secure until then!
OnlineBountySuitcaseStart,SourceCharacter starts unlocking DestinationCharacterName suitcase! PronounSubject will finish in 5 minutes.
OnlineBountySuitcaseStartOpened,SourceCharacter starts stealing more data from DestinationCharacterName laptop! PronounSubject will finish in 5 minutes.
OpacityLabel,Change Opacity
OpenFaceHoodStyleHideBackHair,Hair in
OpenFaceHoodStyleShowBackHair,Hair out
OrgasmCountReset,SourceCharacter resets DestinationCharacter AssetName orgasms count.
OrgasmFailPassive0,The stimulation ends just before you go over the edge.
OrgasmFailPassive1,The vibrators cut off right before you reach climax.
OrgasmFailPassive2,"The vibrators deny you a chance to finish, stopping abruptly."
OrnateAnkleCuffsPoseChained,Chain Attached
OrnateAnkleCuffsPoseClosed,Chain Closed
OrnateAnkleCuffsPoseNone,Detached
OrnateAnkleCuffsRestrainChained,SourceCharacter attaches the Ornate ankle cuffs chain on DestinationCharacter ankles.
OrnateAnkleCuffsRestrainClosed,SourceCharacter attaches the Ornate ankle cuffs chain on DestinationCharacter ankles.
OrnateAnkleCuffsRestrainNone,SourceCharacter detaches the chain from DestinationCharacter Ornate ankle cuffs.
OTNPlugGagMouthSetOpen,SourceCharacter pulls out DestinationCharacter plug from TargetPronounPossessive gag.
OTNPlugGagMouthSetPlug,SourceCharacter plugs up DestinationCharacter mouth.
OTNPlugGagMouthTypeOpen,Open
OTNPlugGagMouthTypePlug,Plugged
OwnerBlockedRemotes,The use of remotes is forbidden by your owner
padlocks,padlocks
PantiesDecreaseTo-1,DestinationCharacterName vibrating latex panties stops vibrating.
PantiesDecreaseTo0,DestinationCharacterName vibrating latex panties slows down into a light tease.
PantiesDecreaseTo1,DestinationCharacterName vibrating latex panties returns to a moderate pace.
PantiesDecreaseTo2,DestinationCharacterName vibrating latex panties slows down a tiny bit.
PantiesDiapers4Butterfly,Butterflies
PantiesDiapers4Flower,Flowers
PantiesDiapers4None,None
PantiesDiapers4Select,Select a diaper pattern.
PantiesDiapers4Spots,Spots
PantiesDiapers4StrawBerry,Strawberries
PantiesIncreaseTo0,DestinationCharacterName vibrating latex panties starts teasing TargetPronounObject lightly.
PantiesIncreaseTo1,DestinationCharacterName vibrating latex panties builds up to a moderate pace.
PantiesIncreaseTo2,DestinationCharacterName vibrating latex panties starts buzzing strongly!
PantiesIncreaseTo3,DestinationCharacterName vibrating latex panties jumps up to maximum intensity!
PantiesJockstrapHolemesh,Holemesh
PantiesJockstrapSelect,Select Jockstrap Type.
PantiesJockstrapSidestraps,Side Straps
PantiesJockstrapString,String
PantiesMaleCatsuitPantiesBulge,Round Bulge
PantiesMaleCatsuitPantiesLock,Null Bulge
PantiesMaleCatsuitPantiesSelect,Select Bulge Type.
PantiesMaleCatsuitPantiesSkinTight,Skin Tight Bulge
PantiesMaleCatsuitPantiesTucked,Tucked
PantiesPoofyDiaperPoofy,Extra Padding
PantiesPoofyDiaperRegularPadding,Regular Padding
PantiesPoofyDiaperSelect,Select the amount of padding.
PasswordChangeSuccess,SourceCharacter changes the password of the lock on DestinationCharacter FocusAssetGroup.
PasswordFail,SourceCharacter tries the word Password but fails to open the lock on DestinationCharacter FocusAssetGroup.
PasswordPadlockChangePassword,Accept
PasswordPadlockEnter,Open lock
PasswordPadlockError,Wrong password
PasswordPadlockErrorInput,Password must be 8 or fewer letters only
PasswordPadlockOld,Enter Password :
PasswordPadlockRemoveOnUnlock,Remove on Unlock:
PasswordPadlockSetHint,Set hint text:
PasswordPadlockSetPassword,Set password:
PelvisRibbonsSetBowWrap,SourceCharacter uses some ribbons to tie a crotch tie on DestinationCharacter.
PelvisRibbonsSetCrotchWrapping,SourceCharacter uses some ribbons on DestinationCharacter crotch to slighty wrap it up.
PelvisRopeSetCrotch,SourceCharacter uses the rope on TargetCharacter to do a crotch rope tie.
PelvisRopeSetKikkouHip,SourceCharacter uses the rope on TargetCharacter to do a kikkou hip style rope tie.
PelvisRopeSetOverPanties,SourceCharacter uses the rope on TargetCharacter to do a crotch rope tie over TargetPronounPossessive panties.
PelvisRopeSetSwissSeat,SourceCharacter uses the rope on TargetCharacter to do a swiss seat style rope tie.
PersonalCageHeightLowered,Go down
PersonalCageHeightSetLowered,SourceCharacter returns DestinationCharacterName to the floor.
PersonalCageHeightSetSuspended,SourceCharacter pulls the level and DestinationCharacterName is lifted.
PersonalCageHeightSuspended,Go up
PetPostText,Save text
PetSuitShockCollarPunishActivity,Forbidden Aggression
PetSuitShockCollarPunishStandup,Forbidden Stand Up
PetSuitShockCollarPunishStruggle,Forbidden Struggle
PlayerGagged,(You can use or remove items by selecting specific body regions on yourself.)
PlayerOwnerCollarRelease,DestinationCharacterName owner releases TargetPronounObject from the slave collar.
PlayerOwnerCollarWear,TargetCharacterName is given TargetPronounObject slave collar again.
plug,plug
PlugGagMouthSetOpen,SourceCharacter pulls out DestinationCharacter plug from TargetPronounPossessive gag.
PlugGagMouthSetPlug,SourceCharacter plugs up DestinationCharacter mouth.
PlugGagMouthTypeOpen,Open
PlugGagMouthTypePlug,Plugged
PortalLinkAvailableFunctionsLabel,Available functions detected:
PortalLinkClipboardError,Clipboard error
PortalLinkDuplicateCode,Too many links
PortalLinkEstablished,PortalLink established
PortalLinkFunctionActivityCaress,SourceCharacter caresses RecieverCharacter FocusAssetGroup through the AssetName portal.
PortalLinkFunctionActivityCaressLabel,Caress
PortalLinkFunctionActivityKiss,SourceCharacter kisses RecieverCharacter FocusAssetGroup through the AssetName portal.
PortalLinkFunctionActivityKissLabel,Kiss
PortalLinkFunctionActivityMasturbateHand,SourceCharacter masturbates RecieverCharacter FocusAssetGroup through the AssetName portal.
PortalLinkFunctionActivityMasturbateHandLabel,Masturbate
PortalLinkFunctionActivityMasturbateTongue,SourceCharacter tongues RecieverCharacter FocusAssetGroup through the AssetName portal.
PortalLinkFunctionActivityMasturbateTongueLabel,Tongue
PortalLinkFunctionActivitySlap,SourceCharacter slaps RecieverCharacter FocusAssetGroup through the AssetName portal.
PortalLinkFunctionActivitySlapLabel,Slap
